TBLID,GEOID,GEONAME,PROFTBL,PROFLN,TITLE,EST_19,EST_18,SIG90_19_18,EST_17,SIG90_19_17,EST_16,SIG90_19_16,EST_15,SIG90_19_15
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,24.3,,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,24.5,MARITAL STATUS,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,25,Males 15 years and over,"1,283,894","1,276,876",*,"1,314,422",*,"1,340,005",*,"1,349,963",*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,26,Never married,45.3%,44.1%,*,44.4%,,43.6%,*,43.7%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,27,"Now married, except separated",37.4%,38.7%,*,38.0%,,39.3%,*,38.8%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,28,Separated,2.0%,2.1%,,2.3%,,2.3%,,2.5%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,29,Widowed,3.7%,3.5%,,3.7%,,2.9%,*,3.0%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,30,Divorced,11.6%,11.6%,,11.7%,,11.9%,,12.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,30.3,,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,31,Females 15 years and over,"1,450,835","1,443,965",*,"1,497,797",*,"1,514,809",*,"1,530,637",*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,32,Never married,38.2%,37.5%,,36.8%,*,36.5%,*,36.3%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,33,"Now married, except separated",32.7%,33.9%,*,33.3%,,33.9%,*,34.1%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,34,Separated,2.7%,2.5%,,3.0%,,2.7%,,3.1%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,35,Widowed,11.6%,11.4%,,11.2%,,11.2%,,10.7%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,36,Divorced,14.9%,14.8%,,15.7%,*,15.7%,*,15.8%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,36.3,,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,36.5,FERTILITY,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,37,Number of women 15 to 50 years old who had a birth in the past 12 months,"20,986","21,107",,"22,160",,"28,556",*,"28,928",*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,38,"Unmarried women (widowed, divorced, and never married)",53.8%,50.7%,,65.9%,*,57.6%,,57.3%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,39,"Per 1,000 unmarried women",21,20,,26,,29,*,29,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,40,"Per 1,000 women 15 to 50 years old",28,28,,28,,35,*,34,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,41,"Per 1,000 women 15 to 19 years old",11,20,,17,,28,*,23,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,42,"Per 1,000 women 20 to 34 years old",47,52,,49,,58,*,65,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,43,"Per 1,000 women 35 to 50 years old",17,9,*,12,,17,,10,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,43.3,,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,43.5,GRANDPARENTS,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,44,Number of grandparents living with own grandchildren under 18 years,"77,197","74,106",,"81,464",,"96,568",*,"97,287",*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,45,Grandparents responsible for grandchildren,32.2%,35.9%,,34.8%,,40.5%,*,45.5%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,45.9,Years responsible for grandchildren,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,46,Less than 1 year,4.1%,7.9%,*,4.0%,,6.3%,*,7.5%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,47,1 or 2 years,5.0%,5.7%,,7.0%,,6.6%,,8.2%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,48,3 or 4 years,6.0%,4.3%,,4.9%,,6.3%,,8.4%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,49,5 or more years,17.1%,18.0%,,18.9%,,21.3%,*,21.3%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,49.3,,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,50,Number of grandparents responsible for own grandchildren under 18 years,"24,848","26,608",,"28,309",,"39,093",*,"44,304",*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,51,Who are female,62.3%,65.0%,,64.9%,,62.5%,,62.8%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,52,Who are married,64.3%,59.1%,,57.3%,,62.4%,,67.3%,
